,Species,Host
479,Mycobacterium phage Bactobuster,Mycolicibacterium smegmatis MC2 155
480,Acinetobacter phage vB_AbaM_phiAbaA1,Acinetobacter baumannii
481,Mycobacterium virus Panchino,Mycolicibacterium smegmatis MC2 155
482,Shigella phage SHFML-11,Shigella sonnei
483,Gordonia phage Terapin,Gordonia terrae
484,Lactococcus phage M6162,Lactococcus lactis
485,Propionibacterium phage Moyashi,Cutibacterium acnes
486,Gordonia virus Nyceirae,Gordonia terrae
487,Propionibacterium phage QueenBey,Cutibacterium acnes
488,Bacillus phage DIGNKC,Bacillus thuringiensis serovar kurstaki
489,Erwinia phage vB_EamM_EarlPhillipIV,Erwinia amylovora
490,Staphylococcus phage SLPW,Staphylococcus aureus
491,Lactococcus phage D4412,Lactococcus lactis
492,Erwinia phage vB_EamM_Kwan,Erwinia amylovora
493,Shigella phage SHFML-26,Shigella sonnei
494,Bacillus phage Kida,Bacillus thuringiensis serovar kurstaki
495,Lactococcus phage 28201,Lactococcus lactis
496,Pseudomonas virus Andromeda,Pseudomonas syringae
497,Bacillus phage Claudi,Bacillus thuringiensis serovar kurstaki
498,Lactococcus phage PLgT-1,Lactococcus garvieae Lg2
499,Lactococcus phage 63301,Lactococcus lactis
500,Citrobacter phage SH4,Citrobacter freundii
501,Enterobacteria phage UAB_Phi20,Salmonella enterica subsp. enterica
502,Morganella phage vB_MmoM_MP1,Morganella sp. (in: Bacteria)
503,Shigella phage SHSML-45,Shigella sonnei
504,Streptococcus virus 9874,Streptococcus thermophilus
505,Bacillus phage Belinda,Bacillus thuringiensis
506,Klebsiella virus KpV475,Klebsiella pneumoniae
507,Salmonella phage phSE-2,Salmonella enterica subsp. enterica serovar Typhimurium
508,Bacillus phage SageFayge,Bacillus thuringiensis serovar kurstaki
509,Gordonia virus Ghobes,Gordonia terrae
510,Gordonia phage Cucurbita,Gordonia terrae
511,Escherichia phage UFV-AREG1,Escherichia coli O157
512,Gordonia phage Remus,Gordonia terrae
513,Bacillus phage Stitch,Bacillus
514,Bacillus phage SalinJah,Bacillus thuringiensis
515,Mycobacterium phage Gengar,Mycolicibacterium smegmatis MC2 155
516,Lactobacillus phage PLE2,Lactobacillus casei BL23
517,Bacillus phage Nigalana,Bacillus thuringiensis serovar kurstaki
518,Bacillus phage AR9,Bacillus subtilis subsp. subtilis str. 168
519,Lactococcus phage 50101,Lactococcus lactis
520,Mycobacterium phage Papez,Mycolicibacterium smegmatis MC2 155
521,Salmonella phage NR01,Salmonella enterica subsp. enterica serovar Typhimurium
522,Erwinia phage vB_EamM_Phobos,Erwinia amylovora
523,Lactococcus phage M6165,Lactococcus lactis
524,Staphylococcus phage BP39,Staphylococcus aureus
525,Escherichia virus HY03,Escherichia coli
526,Enterobacter phage Arya,Enterobacter sp. CT7
527,Bacillus phage NotTheCreek,Bacillus thuringiensis serovar kurstaki
528,Enterobacteria phage vB_EcoS_NBD2,Escherichia coli
529,Enterococcus virus SANTOR1,Enterococcus faecalis ATCC 19433
530,Gordonia virus Twister6,Gordonia terrae
531,Klebsiella virus PKP126,Klebsiella pneumoniae KCTC 2242
532,Bacillus phage DirtyBetty,Bacillus thuringiensis serovar kurstaki
533,Bacillus phage PfEFR-5,Bacillus cereus
534,Bacillus virus Deepblue,Bacillus cereus BtB2-4
535,Citrobacter phage vB_CfrM_CfP1,Citrobacter
536,Pseudomonas virus NP1,Pseudomonas
537,Rhodovulum phage vB_RhkS_P1,Rhodovulum sp. P5
538,Gordonia phage JSwag,Gordonia terrae
539,Gordonia virus Nymphadora,Gordonia terrae
540,Erwinia virus Frozen,Erwinia
541,Pseudomonas virus Ab09,Pseudomonas aeruginosa
542,Lactococcus phage 98201,Lactococcus lactis
543,Salmonella phage vB_SnwM_CGG4-1,Salmonella enterica subsp. enterica serovar Newport
544,Citrobacter phage SH1,Citrobacter freundii
545,Mycobacterium phage Makemake,Mycolicibacterium smegmatis MC2 155
546,Streptococcus virus 9871,Streptococcus thermophilus
547,Bacillus phage Nemo,Bacillus thuringiensis serovar kurstaki
548,Lactococcus phage D4410,Lactococcus lactis
549,Gordonia phage CaptainKirk2,Gordonia terrae
550,Pseudomonas virus MAG1,Pseudomonas aeruginosa
551,Gordonia virus Bantam,Gordonia terrae
552,Lactococcus phage M5938,Lactococcus lactis
553,Propionibacterium virus PFR1,Propionibacterium freudenreichii
554,Streptomyces phage Nanodon,Streptomyces griseus
555,Mycobacterium phage Tonenili,Mycolicibacterium smegmatis MC2 155
556,Escherichia phage Envy,Escherichia coli
557,Escherichia virus Alf5,Escherichia coli K-12
558,Propionibacterium phage BruceLethal,Cutibacterium acnes
559,Shigella virus SHBML501,Shigella sonnei
560,Acinetobacter phage phiAB6,Acinetobacter baumannii
561,Klebsiella phage vB_KpnM_KpV477,Klebsiella pneumoniae
562,Shigella virus SHSML521,Shigella sonnei
563,Pseudomonas phage MD8,Pseudomonas aeruginosa
564,Citrobacter phage SH2,Citrobacter freundii
565,Streptococcus virus 9872,Streptococcus thermophilus
566,Klebsiella virus PKO111,Klebsiella oxytoca
567,Pectobacterium virus PP90,Pectobacterium atrosepticum
568,Gordonia virus Zirinka,Gordonia terrae
569,Acinetobacter phage vB_AbaS_TRS1,Acinetobacter baumannii A118
570,Gordonia virus Hedwig,Gordonia terrae
571,Bacillus phage Phrodo,Bacillus thuringiensis serovar kurstaki
572,Weissella phage WCP30,Weissella sp.
573,Mycobacterium phage Sneeze,Mycolicibacterium smegmatis MC2 155
574,Escherichia phage vB_EcoM-UFV13,Escherichia coli
575,Pseudomonas phage vB_PaeP_MAG4,Pseudomonas aeruginosa
576,Erwinia virus Asesino,Erwinia amylovora
577,Propionibacterium phage PFR2,Propionibacterium freudenreichii
578,Gordonia virus Jumbo,Gordonia terrae
579,Pseudomonas virus phiMK,Pseudomonas aeruginosa
580,Mycobacterium phage Gompeii16,Mycobacterium
581,Gordonia phage Phinally,Gordonia terrae
582,Escherichia phage Gluttony,Escherichia coli
583,Escherichia phage 64795_ec1,Escherichia coli
584,Morganella phage vB_MmoP_MP2,Morganella sp. (in: Bacteria)
585,Bacillus phage Zuko,Bacillus thuringiensis serovar kurstaki
586,Acinetobacter virus LZ35,Acinetobacter baumannii
587,Gordonia phage CarolAnn,Gordonia terrae
588,Propionibacterium phage Enoki,Cutibacterium acnes
589,Erwinia phage vB_EamM_Caitlin,Erwinia amylovora
590,Bacillus phage Aurora,Bacillus thuringiensis serovar kurstaki
591,Gordonia virus Eyre,Gordonia terrae
592,Citrobacter phage SH3,Citrobacter freundii
593,Mycobacterium phage Gardann,Mycolicibacterium smegmatis
594,Lactobacillus phage PLE3,Lactobacillus casei BL23
595,Erwinia phage vB_EamM_ChrisDB,Erwinia amylovora
596,Erwinia phage vB_EamM_Huxley,Erwinia amylovora
597,Salmonella virus PM10,Salmonella enterica subsp. enterica serovar Typhimurium
598,Salmonella virus SJ46,Salmonella enterica
599,Gordonia virus ClubL,Gordonia terrae
600,Gordonia phage GMA1,Gordonia malaquae
601,Bacillus phage vB_BhaS-171,Bacillus halmapalus
602,Gordonia virus Woes,Gordonia terrae
603,Gordonia virus GMA6,Gordonia malaquae
604,Gordonia phage GMA5,Gordonia malaquae
605,Pseudomonas phage JBD69,Pseudomonas aeruginosa PA14
606,Pseudomonas phage YMC11/07/P54_PAE_BP,Pseudomonas
607,Pseudomonas phage K5,Pseudomonas aeruginosa PAK
608,Gordonia virus Vendetta,Gordonia terrae
609,Gordonia phage McGonagall,Gordonia neofelifaecis
610,Gordonia virus Wizard,Gordonia terrae
611,Gordonia virus Kvothe,Gordonia terrae
612,Gordonia virus Orchid,Gordonia terrae
613,Tsukamurella phage TPA4,Tsukamurella paurometabola
614,Gordonia virus OneUp,Gordonia terrae
615,Pseudomonas phage JBD93,Pseudomonas aeruginosa PA14
616,Salmonella phage 118970_sal4,Salmonella enterica
617,Bacillus phage Eldridge,Bacillus megaterium
618,Gordonia phage Utz,Gordonia
619,Pseudomonas phage YMC11/06/C171_PPU_BP,Pseudomonas putida
620,Gordonia virus Monty,Gordonia terrae
621,Bacillus virus Shbh1,Bacillus sp. (in: Bacteria)
622,Pseudomonas phage JBD44,Pseudomonas aeruginosa PA14
623,Gordonia virus Bowser,Gordonia terrae
624,Pseudomonas phage phi2,Pseudomonas aeruginosa
625,Gordonia virus Gsput1,Gordonia sputi
626,Staphylococcus virus Stau2,Staphylococcus aureus
627,Pseudomonas virus KIL4,Pseudomonas syringae
628,Gordonia phage GRU3,Gordonia rubripertincta
629,Gordonia virus Bachita,Gordonia terrae
630,Gordonia phage GMA4,Gordonia malaquae
631,Pseudomonas phage phi3,Pseudomonas aeruginosa
632,Gordonia virus Cozz,Gordonia terrae
633,Gordonia virus Britbrat,Gordonia terrae
634,Gordonia phage Blueberry,Gordonia terrae
635,Gordonia virus Demosthenes,Gordonia terrae
636,Bacillus phage BalMu-1,Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604
637,Streptococcus phage phiARI0923,Streptococcus pneumoniae
638,Clostridium phage phiCT19406B,Clostridium tetani
639,Ralstonia phage RSP15,Ralstonia
640,Clostridium phage phiCTC2A,Clostridium tetani
641,Clostridium phage phiCT19406A,Clostridium tetani
642,Clostridium phage phiCTC2B,Clostridium tetani
643,Gordonia phage Rosalind,Gordonia terrae
644,Gordonia phage KatherineG,Gordonia terrae
645,Gordonia virus Smoothie,Gordonia terrae
646,Gordonia virus Soups,Gordonia terrae
647,Staphylococcus virus 80,Unknown
648,Bacillus phage SPP1,Bacillus
649,Chimpanzee faeces associated microphage 3,Unknown
650,Chimpanzee faeces associated microphage 1,Unknown
651,Chimpanzee faeces associated microphage 2,Unknown
652,Arthrobacter virus ArV1,Arthrobacter sp.
653,Bacillus phage vB_BtS_BMBtp3,Bacillus thuringiensis serovar tenebrionis str. YBT-1765
654,Pseudomonas virus PAKP3,Pseudomonas aeruginosa PAK
655,Yersinia phage phiR201,Yersinia enterocolitica
656,Vibrio phage qdvp001,Vibrio parahaemolyticus
657,Lactobacillus phage LfeInf,Lactobacillus fermentum
658,Mycobacterium phage Edtherson,Mycolicibacterium smegmatis MC2 155
659,Gordonia phage GordDuk1,Gordonia sp.
660,Rhodoferax phage P26218,Rhodoferax sp. IMCC26218
661,Pseudomonas virus VCM,Pseudomonas
662,Pseudomonas phage PS-1,Pseudomonas sp. 1-1-1b
663,Vibrio phage eugene 12A10,Vibrio sp. 12A10
664,Lactobacillus phage LfeSau,Lactobacillus fermentum
665,Cronobacter phage Dev-CD-23823,Cronobacter
666,Salmonella phage 36,Salmonella enterica subsp. enterica serovar Typhimurium
667,Salmonella phage 19,Salmonella enterica subsp. enterica serovar Paratyphi A
668,Geobacillus virus E3,Unknown
669,Gordonia virus GordTnk2,Gordonia sp.
670,Achromobacter phage JWF,Achromobacter xylosoxidans
671,Mycobacterium phage VohminGhazi,Mycolicibacterium smegmatis MC2 155
672,Erysipelothrix phage SE-1,Erysipelothrix rhusiopathiae
673,Mycobacterium phage Dusk,Mycolicibacterium smegmatis MC2 155
674,Staphylococcus phage 812,Staphylococcus
675,Pectobacterium virus Peat1,Pectobacterium atrosepticum
676,Pseudomonas phage PaoP5,Pseudomonas aeruginosa PAO1
677,Paenibacillus virus Rani,Paenibacillus larvae
678,Escherichia virus APCEc01,Escherichia coli
679,Caulobacter phage Percy,Caulobacter sp.
680,Mycobacterium phage Mindy,Mycolicibacterium smegmatis MC2 155
681,Pseudoalteromonas phage H101,Pseudoalteromonas marina
682,Rhodobacter virus RcTitan,Rhodobacter capsulatus YW1
683,Streptomyces virus Jay2Jay,Streptomyces lividans
684,Klebsiella virus KP36,Klebsiella pneumoniae
685,Pseudoalteromonas phage Pq0,Pseudoalteromonas sp. Bq0
686,Pseudomonas phage YH30,Pseudomonas aeruginosa
687,Enterobacter phage E-2,Enterobacter cloacae
688,Brevibacillus phage Jimmer1,Brevibacillus laterosporus
689,Achromobacter phage phiAxp-2,Achromobacter xylosoxidans
690,Ralstonia phage RS138,Ralstonia solanacearum
691,Clostridium phage phiCDHM13,Clostridioides difficile
692,Lactococcus phage GE1,Lactococcus garvieae
693,Staphylococcus phage SPbeta-like,Staphylococcus epidermidis 36-1
694,Shigella virus 7502Stx,Shigella sonnei
695,Bacillus virus Bp8pC,Bacillus pumilus
696,Mycobacterium phage UnionJack,Mycobacterium
697,Salmonella phage 21,Salmonella enterica subsp. enterica serovar Paratyphi A
698,Sinorhizobium phage phiLM21,Sinorhizobium sp. LM21
699,Verrucomicrobia phage P8625,Puniceicoccales
700,Clostridium phage phiCD211,Clostridioides difficile
701,Salmonella phage 37,Salmonella enterica subsp. enterica serovar Gallinarum
702,Salmonella virus 38,Salmonella enterica subsp. enterica serovar Typhi
703,Mycobacterium phage SweetiePie,Mycolicibacterium smegmatis MC2 155
704,Mycobacterium virus Bxz1,Mycolicibacterium smegmatis MC2 155
705,Pseudomonas virus LKA1,Pseudomonas aeruginosa
706,Escherichia virus SSL2009a,Escherichia coli
707,Lactobacillus phage phi jlb1,Lactobacillus gasseri ADH
708,Podovirus Lau218,Unknown
709,Pseudomonas virus DL60,Pseudomonas aeruginosa PAO1
710,Paenibacillus virus Harrison,Paenibacillus larvae
711,Mycobacterium virus Brusacoram,Mycolicibacterium smegmatis MC2 155
712,Brevibacillus phage Sundance,Brevibacillus laterosporus
713,Klebsiella virus Matisse,Klebsiella pneumoniae
714,Mycobacterium phage Quico,Mycolicibacterium smegmatis
715,Salmonella virus Shivani,Salmonella enterica subsp. enterica serovar Typhimurium
716,Citrobacter phage Margaery,Citrobacter sp.
717,Mycobacterium phage Tiffany,Mycobacterium
718,Paenibacillus virus Hb10c2,Paenibacillus larvae
719,Mycobacterium phage Mufasa,Mycolicibacterium smegmatis MC2 155
720,Klebsiella virus KLPN1,Klebsiella pneumoniae
721,Proteus phage vB_PmiM_Pm5461,Proteus mirabilis
722,Polaribacter virus P12002S,Polaribacter
723,Clostridium phage phiCD505,Clostridioides difficile
724,Staphylococcus virus Rodi,Staphylococcus sp.
725,Mannheimia phage vB_MhM_3927AP2,Mannheimia haemolytica
726,Paenibacillus virus Vegas,Paenibacillus larvae
727,Achromobacter virus JWX,Achromobacter xylosoxidans
728,Pseudomonas virus PaMx11,Pseudomonas aeruginosa
729,Enterobacter phage phiEap-1,Klebsiella aerogenes
730,Cronobacter phage S13,Cronobacter sakazakii
731,Klebsiella virus Sushi,Klebsiella pneumoniae
732,Staphylococcus phage 23MRA,Staphylococcus aureus
733,Escherichia virus Cajan,Escherichia coli K-12
734,Bacillus virus Stills,Bacillus megaterium
735,Mycobacterium phage Snenia,Mycolicibacterium smegmatis MC2 155
736,Mycobacterium phage Carcharodon,Mycolicibacterium smegmatis MC2 155
737,Escherichia phage slur07,Escherichia
738,Bacillus phage Pavlov,Bacillus megaterium
739,Lactobacillus phage iLp84,Lactobacillus paracasei
740,Mycobacterium phage Tasp14,Mycolicibacterium smegmatis MC2 155
741,Mycobacterium phage NelitzaMV,Mycolicibacterium smegmatis MC2 155
742,Klebsiella virus 1513,Klebsiella pneumoniae
743,Paenibacillus virus Diva,Paenibacillus larvae
744,Bacillus phage VMY22,Bacillus cereus
745,Mycobacterium phage MOOREtheMARYer,Mycolicibacterium smegmatis MC2 155
746,Mycobacterium phage Kimberlium,Mycolicibacterium smegmatis MC2 155
747,Mycobacterium phage Piro94,Mycolicibacterium smegmatis MC2 155
748,Enterobacter phage E-3,Enterobacter cloacae
749,Mycobacterium virus Phayonce,Mycolicibacterium smegmatis MC2 155
750,Mycobacterium phage MarQuardt,Mycolicibacterium smegmatis MC2 155
751,Vibrio phage phi 1,Vibrio cholerae
752,Klebsiella virus K5,Klebsiella pneumoniae
753,Mycobacterium phage Vortex,Mycolicibacterium smegmatis MC2 155
754,Mycobacterium virus Osmaximus,Mycolicibacterium smegmatis MC2 155
755,Mycobacterium phage Barriga,Mycolicibacterium smegmatis
756,Brevibacillus virus Jenst,Brevibacillus laterosporus
757,Streptomyces phage SF1,Streptomyces flavovirens
758,Pseudomonas virus PaMx74,Pseudomonas aeruginosa
759,Mycobacterium phage Rufus,Mycolicibacterium smegmatis MC2 155
760,Proteus phage pPM_01,Proteus mirabilis
761,Mycobacterium phage Seagreen,Mycolicibacterium smegmatis MC2 155
762,Mycobacterium phage Nhonho,Mycolicibacterium smegmatis
763,Klebsiella virus SU503,Klebsiella pneumoniae
764,Pseudomonas phage K8,Pseudomonas aeruginosa PAK
765,Streptomyces virus TP1604,Streptomyces griseus
766,Pseudoalteromonas phage H103,Pseudoalteromonas marina
767,Yersinia virus TG1,Yersinia enterocolitica
768,Staphylococcus phage StB20-like,Staphylococcus epidermidis 36-1
769,Escherichia phage P483,Escherichia coli
770,Mycobacterium phage Bipolar,Mycolicibacterium smegmatis MC2 155
771,Escherichia virus AYO145A,Escherichia coli O145:NM
772,Enterococcus phage IME-EFm5,Enterococcus faecium
773,Streptomyces virus Lannister,Streptomyces venezuelae ATCC 10712
774,Mycobacterium phage TheloniousMonk,Mycolicibacterium smegmatis MC2 155
775,Vibrio virus ValKK3,Vibrio alginolyticus NBRC 15630 = ATCC 17749
776,Lactobacillus phage iA2,Lactobacillus paracasei
777,Escherichia phage slur01,Escherichia coli
778,Mycobacterium phage Omnicron,Mycolicibacterium smegmatis MC2 155
779,Achromobacter virus 83-24,Achromobacter xylosoxidans
780,Lactobacillus phage CL2,Lactobacillus paracasei
781,Pseudomonas phage DL62,Pseudomonas aeruginosa PAO1
782,Paenibacillus phage Xenia,Paenibacillus larvae
783,Clostridium phage phiCD506,Clostridioides difficile
784,Escherichia virus slur09,Escherichia
785,Paenibacillus virus Lily,Paenibacillus larvae
786,Mycobacterium phage CaptainTrips,Mycolicibacterium smegmatis MC2 155
787,Mycobacterium phage Lolly9,Mycolicibacterium smegmatis MC2 155
788,Mycobacterium phage Phatniss,Mycolicibacterium smegmatis MC2 155
789,Mycobacterium phage ShedlockHolmes,Mycolicibacterium smegmatis MC2 155
790,Escherichia virus QL01,Escherichia
791,Acinetobacter virus Fri1,Acinetobacter baumannii
792,Mycobacterium phage Luchador,Mycolicibacterium smegmatis MC2 155
793,Yersinia phage vB_YenP_ISAO8,Yersinia enterocolitica
794,Mycobacterium phage Equemioh13,Mycolicibacterium smegmatis MC2 155
795,Mannheimia phage vB_MhS_535AP2,Mannheimia haemolytica
796,Paenibacillus virus Sitara,Paenibacillus larvae
797,Acinetobacter phage YMC11/12/R2315,Acinetobacter sp.
798,Bacillus virus Stahl,Bacillus megaterium
799,Citrobacter virus Merlin,Citrobacter freundii
800,Staphylococcus phage B166,Staphylococcus aureus
801,Mycobacterium phage Smeadley,Mycolicibacterium smegmatis MC2 155
802,Mycobacterium phage FlagStaff,Mycolicibacterium smegmatis MC2 155
803,Staphylococcus phage vB_SauS_phi2,Staphylococcus aureus
804,Escherichia phage P694,Escherichia coli
805,Staphylococcus virus phiNM4,Unknown
806,Tsukamurella virus TIN2,Tsukamurella inchonensis
807,Mycobacterium virus HyRo,Mycolicibacterium smegmatis MC2 155
808,Klebsiella virus SU552A,Klebsiella pneumoniae
809,Listeria phage vB_LmoS_188,Listeria monocytogenes
810,Escherichia virus HY02,Escherichia coli O157:H7
811,Mycobacterium phage Pari,Mycolicibacterium smegmatis MC2 155
812,Mycobacterium phage Ariel,Mycolicibacterium smegmatis MC2 155
813,Mycobacterium phage Larenn,Mycolicibacterium smegmatis MC2 155
814,Mycobacterium phage Archie,Mycolicibacterium smegmatis MC2 155
